,HGNC,name
481,HGNC:37196,lnc-SGK1-3
482,HGNC:37195,lnc-ABCA1-1
483,HGNC:28307,CTBP1-DT
484,HGNC:55409,lnc-AGRP-1
485,HGNC:26370,lnc-PQLC1-104
486,HGNC:55415,lnc-SPG11-3
487,HGNC:55535,lnc-LRRTM2-1
488,HGNC:40165,lnc-REG3A-1
489,HGNC:56090,lnc-TAX1BP3-1
490,HGNC:55592,lnc-SHANK2-1
491,HGNC:55426,lnc-MYEF2-1
492,HGNC:53009,CXXC5-AS1
493,HGNC:55352,lnc-SNX20-1
494,HGNC:56848,lnc-SNX20-5
495,HGNC:52509,CYMP-AS1
496,HGNC:28543,CYP1B1-AS1
497,HGNC:54817,lnc-LEF1-3
498,HGNC:43715,CYP4A22-AS1
499,HGNC:55836,lnc-MYOF-1
500,HGNC:28717,CYTOR
501,HGNC:39560,CYYR1-AS1
502,HGNC:55408,lnc-CPT2-2
503,HGNC:40830,lnc-MOCS1-1
504,HGNC:49443,DAB1-AS1
505,HGNC:44120,DACT3-AS1
506,HGNC:28964,DANCR
507,HGNC:50863,DANT1
508,HGNC:50862,DANT2
509,HGNC:30243,DAOA-AS1
510,HGNC:55214,lnc-ANKRD33B-10
511,HGNC:43591,DAPK1-IT1
512,HGNC:40170,DARS-AS1
513,HGNC:43904,DBET
514,HGNC:24155,DBH-AS1
515,HGNC:55792,lnc-PEA15-1
516,HGNC:41147,DCST1-AS1
517,HGNC:44151,DCTN1-AS1
518,HGNC:55241,lnc-MBOAT4-3
519,HGNC:39889,DCUN1D2-AS
520,HGNC:54083,lnc-RAC3-1
521,HGNC:55441,lnc-STYX-4
522,HGNC:52379,DDIT4-AS1
523,HGNC:55562,lnc-DAPP1-3
524,HGNC:28694,DDR1-DT
525,HGNC:55358,lnc-PHTF2-1
526,HGNC:44176,DDX11-AS1
527,HGNC:55349,lnc-AARS-1
528,HGNC:39771,DDX39B-AS1
529,HGNC:41094,lnc-CAMSAP2-1
530,HGNC:56176,lnc-RPL27A-2
531,HGNC:55537,lnc-SLC45A4-2
532,HGNC:42517,DENND5B-AS1
533,HGNC:51592,DENND6A-DT
534,HGNC:50592,DEPDC1-AS1
535,HGNC:55602,lnc-DSCC1-1
536,HGNC:27451,lnc-MAP6-2
537,HGNC:16757,lnc-DGCR6-6
538,HGNC:17226,DGCR11
539,HGNC:43441,DGUOK-AS1
540,HGNC:56822,lnc-NADSYN1-1
541,HGNC:53969,lnc-LEXM-2
542,HGNC:40925,lnc-ZNF683-1
543,HGNC:23175,DHRS4-AS1
544,HGNC:38713,DHRSX-IT1
545,HGNC:52937,lnc-MIS12-1
546,HGNC:40177,lnc-PCDHGA1-1
547,HGNC:16972,DIAPH2-AS1
548,HGNC:39916,DIAPH3-AS2
549,HGNC:43017,DICER1-AS1
550,HGNC:53146,lnc-CPNE5-6
551,HGNC:20348,DIO3OS
552,HGNC:41430,DIP2A-IT1
553,HGNC:50636,DIRC3-AS1
554,HGNC:55369,lnc-MEGF11-1
555,HGNC:41325,DISC1-IT1
556,HGNC:33625,DISC1FP1
557,HGNC:13747,DLEU1
558,HGNC:13748,DLEU2
559,HGNC:13225,lnc-PGM1-1
560,HGNC:44154,DLG1-AS1
561,HGNC:40179,lnc-ANKRD42-3
562,HGNC:40182,DLG3-AS1
563,HGNC:45109,DLG5-AS1
564,HGNC:31676,DLGAP1-AS1
565,HGNC:28146,DLGAP1-AS2
566,HGNC:27317,DLGAP1-AS3
567,HGNC:44333,DLGAP1-AS4
568,HGNC:27586,DLGAP1-AS5
569,HGNC:50467,DLGAP2-AS1
570,HGNC:51223,DLGAP4-AS1
571,HGNC:50638,DLX2-DT
572,HGNC:37151,DLX6-AS1
573,HGNC:40185,DMD-AS3
574,HGNC:55864,lnc-TMEM243-1
575,HGNC:55568,lnc-DTWD2-1
576,HGNC:40188,lnc-SAYSD1-1
577,HGNC:55663,lnc-GLO1-1
578,HGNC:55375,lnc-GPT2-1
579,HGNC:55412,lnc-ACSBG1-1
580,HGNC:49846,DNAJB5-DT
581,HGNC:41029,DNAJB8-AS1
582,HGNC:39808,DNAJC3-DT
583,HGNC:42943,DNAJC27-AS1
584,HGNC:41494,DNM3-IT1
585,HGNC:41228,DNM3OS
586,HGNC:55789,lnc-DES-1
587,HGNC:40876,DOCK4-AS1
588,HGNC:56684,lnc-ANGPTL8-1
589,HGNC:55670,lnc-ATG4C-2
