,HSAL,name
603,HSALNG0141910,lnc-NBPF19-5
604,HSALNG0141913,lnc-PPIAL4C-4
605,HSALNG0142341,lnc-HIST2H3D-1
606,HSALNG0006973,lnc-HIST2H3A-1
607,HSALNG0006978,lnc-HIST2H3A-1
608,HSALNG0006989,lnc-OTUD7B-2
609,HSALNG0007012,lnc-APH1A-2
610,HSALNG0007045,FALEC
611,HSALNG0007049,lnc-MCL1-7
612,HSALNG0007053,ADAMTSL4-AS1
613,HSALNG0007091,lnc-SETDB1-1
614,HSALNG0007094,lnc-ANXA9-1
615,HSALNG0007132,lnc-PI4KB-1
616,HSALNG0007139,lnc-ZNF687-3
617,HSALNG0007141,lnc-ZNF687-1
618,HSALNG0007143,lnc-PSMB4-1
619,HSALNG0007163,lnc-CGN-1
620,HSALNG0142346,lnc-CELF3-3
621,HSALNG0007171,lnc-SNX27-2
622,HSALNG0007178,lnc-OAZ3-6
623,HSALNG0007183,lnc-RIIAD1-3
624,HSALNG0007182,lnc-MRPL9-1
625,HSALNG0007184,lnc-MRPL9-2
626,HSALNG0007188,TDRKH-AS1
627,HSALNG0007192,lnc-OAZ3-2
628,HSALNG0007211,lnc-OAZ3-3
629,HSALNG0007221,lnc-OAZ3-4
630,HSALNG0007223,FLG-AS1
631,HSALNG0007253,LINC01527
632,HSALNG0007272,lnc-LELP1-1
633,HSALNG0007309,lnc-S100A1-2
634,HSALNG0007324,lnc-S100A13-2
635,HSALNG0007338,lnc-GATAD2B-1
636,HSALNG0007361,lnc-CREB3L4-12
637,HSALNG0007363,lnc-CREB3L4-4
638,HSALNG0007394,IL6R-AS1
639,HSALNG0007407,lnc-IL6R-1
640,HSALNG0007418,lnc-ADAR-1
641,HSALNG0007443,lnc-CKS1B-4
642,HSALNG0007446,lnc-CKS1B-2
643,HSALNG0007463,DCST1-AS1
